MES,IPC NACIONAL EMPALME IPIM
2010-09,32.8654871393349
2010-10,33.1630452996915
2010-11,33.4756696960155
2010-12,33.791307339533
2011-01,34.16118343253322
2011-02,34.47908101144583
2011-03,34.81053820272912
2011-04,35.160074877173315
2011-05,35.52166454039145
2011-06,35.92694628791511
2011-07,36.28853595113324
2011-08,36.65690542053672
2011-09,37.0328080079239
2011-10,37.370291693594154
2011-11,37.72660817422369
2011-12,38.07388491327278
2012-01,38.4384878236844
2012-02,38.818156970063434
2012-03,39.27692385527144
2012-04,39.721377816310394
2012-05,40.12665956383405
2012-06,40.52440819337401
2012-07,40.91763695212372
2012-08,41.34099818280829
2012-09,41.80127169161304
2012-10,42.23367266387806
2012-11,42.65778720636099
2012-12,43.07210869546511
2013-01,43.50978285031873
2013-02,43.9693030473251
2013-03,44.41225038476731
